Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-50000,50000,50000,8.58,2.27,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,9.1,0.6,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,10.7,1.96,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,10.44,-999,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,8.28,0.9,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,8.99,0.01,10,256,Volcanic,,,,,,,,,,,,
-50000,50000,50000,9.83,1.18,10,256,Volcanic,,,,,,,,,,,,
-49900,-1,-1,4.08,0.38,19.47,205.1,Volcanic,,,,,,,,,,,,
-49300,-1,-1,3.11,0.27,19.47,205.1,Volcanic,,,,,,,,,,,,
-48600,-1,-1,3.49,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-48050,-1,-1,3.25,0.16,45.75,3.05,Volcanic,,,,,,,,,,,,
-47443,-1,-1,4.87,0.57,17.4,246.8,Volcanic,,,,,,,,,,,,
-46700,-1,-1,4.55,1.1,19.47,205.1,Volcanic,,,,,,,,,,,,
-46100,-1,-1,3.54,0.6,19.47,205.1,Volcanic,,,,,,,,,,,,
-46000,22000,22000,5.84,0.39,-37.5,77.3,Volcanic,,,,,,,,,,,,
-45914,-1,-1,2.85,0.18,17.4,246.8,Volcanic,,,,,,,,,,,,
-45400,-1,-1,5.11,2.15,19.47,205.1,Volcanic,,,,,,,,,,,,
-45399,-1,-1,3.33,-999,17.4,246.8,Volcanic,,,,,,,,,,,,
-44598,-1,-1,5.81,0.31,19.4,246.5,Volcanic,,,,,,,,,,,,
-44323,680,771,4.24,0.07,38.5,-27.2,Volcanic,,,,,,,,,,,,
-44100,-1,-1,3.22,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
