,age,mean,std,mode,2.50%,25%,50%,75%,97.50%
0,0.055,6.525772656,0.428305623,6.43813325,5.721766806,6.235203178,6.511167916,6.806803745,7.387471961
1,0.105,6.667764208,0.299003239,6.668157451,6.086361524,6.463688865,6.663776288,6.863819751,7.265778187
2,0.155,6.274878919,0.487492388,6.258872721,5.356967546,5.94410515,6.259242928,6.586708566,7.276519583
3,0.205,7.634822942,0.600682446,7.529668878,6.545831307,7.218995168,7.605577791,8.018740731,8.890465498
4,0.255,7.064329096,0.615506205,6.979694068,5.930271903,6.636001098,7.033447579,7.455792344,8.337760944
5,0.305,6.934764836,0.539994443,6.867753212,5.9268578,6.561906136,6.911293897,7.285040704,8.065947734
6,0.355,7.314647161,0.57179321,7.18776118,6.249502598,6.92467273,7.288045231,7.679377781,8.486578366
7,0.405,6.857633721,0.534403961,6.760056588,5.873345389,6.490932224,6.831016241,7.196526291,7.968588935
8,0.455,6.611168471,0.557602095,6.566012363,5.606971038,6.231438277,6.584836615,6.951415328,7.809429037
9,0.505,6.942119733,0.586430334,6.834572591,5.84306777,6.546468108,6.915609739,7.311955944,8.165887478
10,0.555,6.867950602,0.659713551,6.789462684,5.658782582,6.431696031,6.83792458,7.283700636,8.23872856
11,0.605,6.914063885,0.898165102,6.899529942,5.294906295,6.317743978,6.871527038,7.448472312,8.86331557
12,0.655,7.413254455,0.991239108,7.291706851,5.568846024,6.741229076,7.364776711,8.025151771,9.481724907
13,0.705,7.708321055,0.824622031,7.70283808,6.134454495,7.153675334,7.69076341,8.24060273,9.403505989
14,0.755,5.566981926,0.483688645,5.521972317,4.653859823,5.241585195,5.553313038,5.881546384,6.565067588
15,0.805,5.064681604,0.473926547,5.016868603,4.174843176,4.741597184,5.051250708,5.364485703,6.041797814
16,0.855,5.79363724,0.624136194,5.683447521,4.673511454,5.361828381,5.75252372,6.181951045,7.130214505
17,0.905,6.617752866,0.793473304,6.507018884,5.172619699,6.084001271,6.579727037,7.114445449,8.298262676
18,0.955,7.261813494,0.979074659,7.072879475,5.477323663,6.58813656,7.218271912,7.880254678,9.312135048
19,1.005,6.285634463,0.995098505,6.127230661,4.541724976,5.592075111,6.208770176,6.900632496,8.423872725
20,1.055,5.803297137,1.171166155,5.557168305,3.727603363,5.041456094,5.708448614,6.45786589,8.384949534
21,1.105,5.298801912,1.065811279,5.127439224,3.410191189,4.602259513,5.217241059,5.892602985,7.734128517
22,1.155,4.939393866,0.834550285,4.732114479,3.503237289,4.367054503,4.87495197,5.442100095,6.751651741
23,1.205,4.673188575,0.76818729,4.582672442,3.332209497,4.149811497,4.61957902,5.129757595,6.341437914
24,1.255,4.76235286,0.932058235,4.586262277,3.154633874,4.134100315,4.683907236,5.295623259,6.830551242
25,1.305,5.40039492,1.00983638,5.39341752,3.552647502,4.701211384,5.357414348,6.04022126,7.509130724
26,1.355,6.555896113,1.203908993,6.430543295,4.214167291,5.732349394,6.541983539,7.373703516,8.935723173
27,1.405,5.660289474,1.123350623,5.553137856,3.57222912,4.892790073,5.61557998,6.371798327,7.997681267
28,1.455,4.755125617,1.016014536,4.579437827,3.000507462,4.053888544,4.672755445,5.36009754,7.041234353
29,1.505,4.337257621,1.004283216,3.911669852,2.688549307,3.638513347,4.221941124,4.905351738,6.683679271
30,1.555,4.631728655,1.106422874,4.35674175,2.83988792,3.867709635,4.506274728,5.24103748,7.211511705
31,1.605,5.095030116,1.275726316,4.808775067,3.004824325,4.194126701,4.957932128,5.816598467,8.010330184
32,1.655,5.155193405,1.396930949,4.633204995,2.880556164,4.18206064,4.998383332,5.950714766,8.305453341
33,1.705,5.282784987,1.30689692,4.876507274,3.066336825,4.37585853,5.138729773,6.074331119,8.181016237
34,1.755,5.375919638,1.310912457,5.141296993,3.211230968,4.460074176,5.241380299,6.137609946,8.344031982
35,1.805,5.42037314,1.251248385,5.029397326,3.291978981,4.55577637,5.310416149,6.164686972,8.181304055
36,1.855,5.481719263,1.26475252,5.245790023,3.283715522,4.601804317,5.384747668,6.237312912,8.196707722
37,1.905,5.395471037,1.241658579,5.150428384,3.196589145,4.546225651,5.312099114,6.160439073,8.075455799
38,1.955,5.256139431,1.159035659,5.146373632,3.200619342,4.455761598,5.182989536,5.963539684,7.774930482
39,2.005,5.095251233,1.077730893,4.92982992,3.181586665,4.347446197,5.038835088,5.760935358,7.364960692
40,2.055,4.98655417,1.024557349,4.71894051,3.137870288,4.291527425,4.94524494,5.618050874,7.175161177
41,2.105,4.777151385,0.888530744,4.547788457,3.199335491,4.157913065,4.720804394,5.342843605,6.675231442
42,2.155,4.650923257,0.821974442,4.629468282,3.192879745,4.082031278,4.60788957,5.170001753,6.401850698
43,2.205,5.249663337,1.216858777,5.027974006,3.071584529,4.423332791,5.16387519,6.004420261,7.816604574
44,2.255,5.497337728,1.255636484,5.351606242,3.235398279,4.626401004,5.429155159,6.268505167,8.190948887
45,2.305,5.808273022,1.250452104,5.650768158,3.555265593,4.946333523,5.742015066,6.587866719,8.459837128
46,2.355,6.004821781,1.272046685,5.913736017,3.671096039,5.144460682,5.942359674,6.784978165,8.744786224
47,2.405,6.074673946,1.265949684,5.708116272,3.805215416,5.219947319,5.988089928,6.855181338,8.765854453
48,2.455,6.081244659,1.225540034,5.878504931,3.865059486,5.245044489,6.024588103,6.848415088,8.674052179
49,2.505,6.19458669,1.234524333,5.989386725,4.012988207,5.355122631,6.104824272,6.94851591,8.872248745
50,2.555,6.235645259,1.25433057,6.015772563,4.008593574,5.369119704,6.147017026,6.992280693,8.92390976
51,2.605,5.965172545,1.261918753,5.680667413,3.754688444,5.110095762,5.870342484,6.721867018,8.693081999
52,2.655,5.896473316,1.241721312,5.762020442,3.647373163,5.046503848,5.831653511,6.665175748,8.575772649
53,2.705,6.321957549,1.314193644,6.056104041,3.969747875,5.439883876,6.242623489,7.132768863,9.132771142
54,2.755,6.271047598,1.30573387,6.05250096,3.88001294,5.401178535,6.204229496,7.067827665,9.053549521
55,2.805,6.318705806,1.33061857,6.024839452,3.895623336,5.419758049,6.238442407,7.116136803,9.193567358
56,2.855,6.332349025,1.359477652,6.0282495,3.911712711,5.414589026,6.239844306,7.151778598,9.239915279
